time,Temp1,Temp2,Temp3,Temp4
0x00000000,1.0,1.0,1.0,1.0
2017-10-26 01:00:52,20.5,20.875,19.25,21.4375
2017-10-26 01:01:52,20.375,21.0625,19.0,21.6875
2017-10-26 01:02:52,20.3125,21.25,18.8125,22.0
2017-10-26 01:03:52,20.25,21.5,18.625,22.25
2017-10-26 01:04:52,20.1875,21.6875,18.4375,22.5625
2017-10-26 01:05:52,20.125,21.9375,18.25,22.8125
2017-10-26 01:06:52,20.0625,22.1875,18.125,23.0625
2017-10-26 01:07:52,20.0,22.375,17.9375,23.3125
2017-10-26 01:08:52,19.9375,22.5625,17.75,23.5625
2017-10-26 01:09:52,19.9375,22.8125,17.5625,23.75
2017-10-26 01:10:52,19.875,22.9375,17.4375,24.0
2017-10-26 01:11:52,19.8125,23.125,17.25,24.1875
2017-10-26 01:12:52,19.75,23.3125,17.0625,24.375
2017-10-26 01:13:52,19.6875,23.4375,16.875,24.5
2017-10-26 01:14:52,19.625,23.5625,16.6875,24.625
2017-10-26 01:15:52,19.5625,23.625,16.5625,24.75
2017-10-26 01:16:52,19.4375,23.75,16.375,24.875
2017-10-26 01:17:52,19.375,23.8125,16.1875,24.9375
2017-10-26 01:18:52,19.3125,23.875,16.0,25.0
2017-10-26 01:19:52,19.1875,23.9375,15.8125,25.0625
2017-10-26 01:20:52,19.0625,23.9375,15.625,25.0625
2017-10-26 01:21:52,19.0,24.0,15.4375,25.125
2017-10-26 01:22:51,18.875,24.0,15.3125,25.125
2017-10-26 01:23:51,19.0625,24.0,15.1875,25.125
2017-10-26 01:24:51,19.1875,24.0,15.1875,25.1875
2017-10-26 01:25:51,19.125,24.0625,15.25,25.25
2017-10-26 01:26:51,19.1875,24.125,15.6875,25.3125
2017-10-26 01:27:51,19.25,24.25,15.6875,25.4375
2017-10-26 01:28:51,19.3125,24.375,15.875,25.5625
2017-10-26 01:29:51,19.5625,24.5,16.0625,25.6875
