time,Temp1,Temp2,Temp3,Temp4
0x00000000,1.0,1.0,1.0,1.0
2018-06-15 03:53:35,14.0,14.8125,13.625,14.6875
2018-06-15 03:54:35,13.75,14.5,13.4375,14.375
2018-06-15 03:55:35,13.4375,14.1875,13.125,14.0625
2018-06-15 03:56:35,13.1875,13.9375,12.875,13.75
2018-06-15 03:57:36,12.875,13.625,12.625,13.5
2018-06-15 03:58:35,12.5625,13.375,12.25,13.1875
2018-06-15 03:59:35,12.3125,13.0625,12.0625,12.875
2018-06-15 04:00:36,12.0,12.8125,11.75,12.5625
2018-06-15 04:01:35,11.6875,12.5,11.4375,12.3125
2018-06-15 04:02:36,11.375,12.1875,11.125,12.0
2018-06-15 04:03:36,11.0625,11.9375,10.8125,11.6875
2018-06-15 04:04:36,10.75,11.625,10.5,11.375
2018-06-15 04:05:36,10.375,11.3125,10.1875,11.0
2018-06-15 04:06:36,10.0625,11.0,9.875,10.75
2018-06-15 04:07:36,9.875,10.6875,9.625,10.4375
2018-06-15 04:08:36,9.9375,10.4375,9.5625,10.125
2018-06-15 04:09:36,9.6875,10.1875,9.4375,9.875
2018-06-15 04:10:36,9.75,9.9375,9.4375,9.6875
2018-06-15 04:11:36,9.5625,9.75,9.375,9.5
2018-06-15 04:12:36,9.4375,9.625,9.875,9.3125
2018-06-15 04:13:36,9.3125,9.5,9.8125,9.1875
2018-06-15 04:14:36,9.3125,9.4375,9.6875,9.125
2018-06-15 04:15:36,9.375,9.375,10.125,9.0625
2018-06-15 04:16:36,9.3125,9.3125,9.9375,9.0
2018-06-15 04:17:36,9.4375,9.3125,10.75,9.0
2018-06-15 04:18:36,9.4375,9.3125,10.4375,9.0
2018-06-15 04:19:36,9.5625,9.375,10.75,9.0625
2018-06-15 04:20:36,9.6875,9.4375,11.0625,9.125
2018-06-15 04:21:36,9.8125,9.4375,10.875,9.1875
2018-06-15 04:22:36,10.0,9.5625,11.4375,9.3125
2018-06-15 04:23:36,10.125,9.625,11.25,9.4375
2018-06-15 04:24:36,10.375,9.75,12.25,9.5625
2018-06-15 04:25:36,10.625,9.875,12.0625,9.75
2018-06-15 04:26:36,10.8125,10.0,11.75,9.9375
2018-06-15 04:27:36,11.0625,10.1875,12.25,10.1875
2018-06-15 04:28:36,11.25,10.3125,11.875,10.375
2018-06-15 04:29:36,11.5,10.5,12.5625,10.625
2018-06-15 04:30:36,11.75,10.625,12.25,10.875
2018-06-15 04:31:36,12.0625,10.8125,12.1875,11.125
2018-06-15 04:32:36,12.3125,11.0,13.0625,11.375
2018-06-15 04:33:36,12.5625,11.1875,12.625,11.625
2018-06-15 04:34:36,12.9375,11.375,13.25,11.9375
2018-06-15 04:35:36,13.1875,11.625,13.0,12.1875
2018-06-15 04:36:36,13.5,11.8125,12.8125,12.4375
2018-06-15 04:37:36,13.75,12.0625,13.5625,12.75
2018-06-15 04:38:36,14.0,12.25,13.375,13.0
2018-06-15 04:39:36,14.3125,12.5,14.0625,13.3125
2018-06-15 04:40:36,14.5625,12.75,14.3125,13.5
2018-06-15 04:41:36,14.8125,13.0625,14.3125,13.8125
2018-06-15 04:42:36,15.0625,13.3125,14.9375,14.0
2018-06-15 04:43:36,15.25,13.5625,14.8125,14.25
2018-06-15 04:44:36,15.625,13.8125,14.9375,14.4375
2018-06-15 04:45:36,15.8125,14.0625,15.0,14.625
2018-06-15 04:46:36,16.1875,14.3125,15.25,14.875
2018-06-15 04:47:36,16.5,14.5625,15.3125,15.0625
2018-06-15 04:48:36,16.625,14.8125,15.625,15.25
2018-06-15 04:49:36,16.875,15.0,15.75,15.4375
2018-06-15 04:50:39,16.8125,15.25,16.0625,15.625
2018-06-15 04:51:36,17.1875,15.4375,16.3125,15.8125
2018-06-15 04:52:36,17.1875,15.625,16.375,16.0
2018-06-15 04:53:36,17.5625,15.8125,16.8125,16.1875
2018-06-15 04:54:36,17.5,16.0,16.9375,16.3125
2018-06-15 04:55:36,17.5625,16.1875,17.1875,16.5
2018-06-15 04:56:36,17.6875,16.375,17.625,16.6875
2018-06-15 04:57:36,17.75,16.5625,17.6875,16.8125
2018-06-15 04:58:36,17.9375,16.8125,18.25,17.0625
2018-06-15 04:59:36,18.0625,17.0,18.1875,17.1875
